"path","clicks","impressions","type","sample_url"
"/","27781","1559610","home","https://itanet.ir/"
"/prices/","4688","290497","page","https://itanet.ir/prices/"
"/ftth/","4214","68149","page","https://itanet.ir/ftth/"
"/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C/","3465","57630","blog","https://itanet.ir/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C/"
"/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A8%D8%B3%D8%AA%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D8%AF%D8%B1-%D8%A7%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D9%85%D9%86","2534","611429","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A8%D8%B3%D8%AA%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D8%AF%D8%B1-%D8%A7%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D9%85%D9%86"
"/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C","1246","26930","blog","https://itanet.ir/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C"
"/blog/adsl","467","32222","blog","https://itanet.ir/blog/adsl"
"/blog/%D8%B1%D8%A7%D9%86%DA%98%D9%87-%DA%A9%D8%B1%D8%AF%D9%86-%D8%AE%D8%B7-%D8%AA%D9%84%D9%81%D9%86-%DA%86%DB%8C%D8%B3%D8%AA","394","16994","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%86%DA%98%D9%87-%DA%A9%D8%B1%D8%AF%D9%86-%D8%AE%D8%B7-%D8%AA%D9%84%D9%81%D9%86-%DA%86%DB%8C%D8%B3%D8%AA"
"/blog/wifi/","383","65363","blog","https://itanet.ir/blog/wifi/"
"/2ghasemi","369","12854","affiliate","https://itanet.ir/2ghasemi"
